REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
RB117,R_RES0603_100 OHM,100 Ohm,,RES0603,69.2935,13.7088,270,YES
RB118,R_RES0603_100 OHM,100 Ohm,,RES0603,67.8665,13.7088,270,YES
RB119,R_RES0603_100 OHM,100 Ohm,,RES0603,66.4395,13.7088,270,YES
RB120,R_RES0603_100 OHM,100 Ohm,,RES0603,65.0125,13.7088,270,YES
RB121,R_RES0603_100 OHM,100 Ohm,,RES0603,63.5854,13.7088,270,YES
RB122,R_RES0603_100 OHM,100 Ohm,,RES0603,62.1584,13.7088,270,YES
RB123,R_RES0603_100 OHM,100 Ohm,,RES0603,60.7314,13.7088,270,YES
RB10,R_RES0603_10K,10K,,RES0603,112.3996,157.6769,0,YES
RB11,R_RES0603_10K,10K,,RES0603,112.4201,156.2392,0,YES
RB50,R_RES0603_10K,10K,,RES0603,188.8464,99.208,270,YES
RB58,R_RES0603_10K,10K,,RES0603,216.5604,97.8154,0,YES
RB67,R_RES0603_10K,10K,,RES0603,121.8542,91.2113,90,YES
RB77,R_RES0603_10K,10K,,RES0603,114.2492,86.6636,180,YES
RB82,R_RES0603_10K,10K,,RES0603,121.8542,81.4556,270,YES
RB101,R_RES0603_10K,10K,,RES0603,166.6494,39.513,0,YES
RB102,R_RES0603_10K,10K,,RES0603,130.6368,39.497,90,YES
RB103,R_RES0603_10K,10K,,RES0603,149.988,34.3426,270,YES
RB108,R_RES0603_10K,10K,,RES0603,162.687,27.1372,180,YES
RB109,R_RES0603_10K,10K,,RES0603,162.687,25.5388,180,YES
RB110,R_RES0603_10K,10K,,RES0603,162.687,23.9268,180,YES
RB111,R_RES0603_10K,10K,,RES0603,173.5328,23.4442,180,YES
RB112,R_RES0603_10K,10K,,RES0603,162.687,22.3638,180,YES
RB12,R_RES0603_10M,10M,,RES0603,11.0744,154.8384,90,YES
RB81,R_RES0603_13.3K,13.3K,,RES0603,116.7892,81.753,0,YES
RB99,R_RES0603_150 OHM,150 Ohm,,RES0603,152.3502,42.0658,90,YES
RB100,R_RES0603_150 OHM,150 Ohm,,RES0603,150.8262,42.0658,90,YES
RB124,R_RES0603_150 OHM,150 Ohm,,RES0603,188.3918,9.779,180,YES
RB125,R_RES0603_150 OHM,150 Ohm,,RES0603,184.3786,9.779,0,YES
RB68,R_RES0603_19.1K,19.1K,,RES0603,117.237,90.048,0,YES
RB2,R_RES0603_1K,1K,,RES0603,206.6802,161.9641,270,YES
RB5,R_RES0603_1K,1K,,RES0603,188.1886,161.9387,270,YES
RB34,R_RES0603_1K,1K,,RES0603,164.6407,126.365,0,YES
RB35,R_RES0603_1K,1K,,RES0603,164.6157,124.139,0,YES
RB40,R_RES0603_1K,1K,,RES0603,164.6157,121.9059,0,YES
RB41,R_RES0603_1K,1K,,RES0603,164.6444,119.6965,0,YES
RB54,R_RES0603_2.2K,2.2K,,RES0603,234.8007,98.171,270,YES
RB55,R_RES0603_2.2K,2.2K,,RES0603,233.3498,98.171,270,YES
RB56,R_RES0603_2.2K,2.2K,,RES0603,231.8797,98.171,270,YES
RB57,R_RES0603_2.2K,2.2K,,RES0603,230.3557,98.171,270,YES
RB61,R_RES0603_2.2K,2.2K,,RES0603,234.8007,93.218,90,YES
