REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,SYM_NAME,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
RT33,R_RES0603_4.99K,4.99K,,RES0603,77.47,121.2088,90,NO
RT52,R_RES0603_4.99K,4.99K,,RES0603,128.6002,102.0318,90,NO
RT75,R_RES0603_4.99K,4.99K,,RES0603,208.728,87.884,270,NO
RT76,R_RES0603_4.99K,4.99K,,RES0603,210.185,87.884,270,NO
RT77,R_RES0603_4.99K,4.99K,,RES0603,211.709,87.884,270,NO
RT78,R_RES0603_4.99K,4.99K,,RES0603,213.228,87.884,270,NO
RT79,R_RES0603_4.99K,4.99K,,RES0603,214.728,87.884,270,NO
RT80,R_RES0603_4.99K,4.99K,,RES0603,216.228,87.884,270,NO
RT81,R_RES0603_4.99K,4.99K,,RES0603,217.932,87.884,270,NO
RT91,R_RES0603_4.99K,4.99K,,RES0603,27.4066,76.6572,90,NO
RT92,R_RES0603_4.99K,4.99K,,RES0603,77.47,76.6318,90,NO
RT95,R_RES0603_4.99K,4.99K,,RES0603,201.7026,73.1012,90,NO
RT138,R_RES0603_4.99K,4.99K,,RES0603,77.6732,31.4198,90,NO
RT139,R_RES0603_4.99K,4.99K,,RES0603,27.3812,31.4198,90,NO
RT18,R_RES0603_41.2 KOHM,41.2 kOhm,,RES0603,38.0238,135.4116,270,NO
RT20,R_RES0603_41.2 KOHM,41.2 kOhm,,RES0603,87.9856,135.4116,270,NO
RT38,R_RES0603_41.2 KOHM,41.2 kOhm,,RES0603,139.1158,116.2346,270,NO
RT64,R_RES0603_41.2 KOHM,41.2 kOhm,,RES0603,37.9222,90.86,270,NO
RT66,R_RES0603_41.2 KOHM,41.2 kOhm,,RES0603,87.9856,90.8346,270,NO
RT121,R_RES0603_41.2 KOHM,41.2 kOhm,,RES0603,37.8968,45.6226,270,NO
RT123,R_RES0603_41.2 KOHM,41.2 kOhm,,RES0603,88.1888,45.6226,270,NO
RT158,R_RES0603_499 OHM,499 Ohm,,RES0603,219.7822,10.8966,270,NO
RT159,R_RES0603_499 OHM,499 Ohm,,RES0603,226.1322,10.8966,270,NO
RT63,R_RES0805_0.02,0.02,,RES0805,135.291,91.2113,0,NO
RT88,R_RES0805_0.02,0.02,,RES0805,134.9022,78.5304,0,NO
RT8,R_RES1206_0.005,0.005,,RES1206,146.9136,147.2946,270,NO
RT9,R_RES1206_0.005,0.005,,RES1206,155.3464,147.2946,270,NO
RT29,R_RES1206_0.005,0.005,,RES1206,18.415,121.9046,270,NO
RT30,R_RES1206_0.005,0.005,,RES1206,68.3768,121.9046,270,NO
RT49,R_RES1206_0.005,0.005,,RES1206,119.507,102.7276,270,NO
RT89,R_RES1206_0.005,0.005,,RES1206,18.3134,77.353,270,NO
RT90,R_RES1206_0.005,0.005,,RES1206,68.3768,77.3276,270,NO
RT136,R_RES1206_0.005,0.005,,RES1206,18.288,32.1156,270,NO
RT137,R_RES1206_0.005,0.005,,RES1206,68.58,32.1156,270,NO
UT39,24AA025E48T-I/SN_SOIC8_24AA025E48T-I/SN,24AA025E48T-I/SN,,SOIC8,235.8614,18.843,90,NO
QT1,BSS138_SOT95P230X110-3N_BSS138K,BSS138K,,SOT95P230X110-3N,178.6636,118.3894,0,NO
QT2,BSS138_SOT95P230X110-3N_BSS138K,BSS138K,,SOT95P230X110-3N,220.3704,72.1868,270,NO
QT4,BSS138_SOT95P230X110-3N_BSS138K,BSS138K,,SOT95P230X110-3N,168.9762,56.4638,180,NO
FIDT1,FIDUCIAL_FIDUCIAL_FIDUCIAL,Fiducial,,FIDUCIAL,9.0678,164.5142,0,NO
FIDT2,FIDUCIAL_FIDUCIAL_FIDUCIAL,Fiducial,,FIDUCIAL,236.22,164.5142,0,NO
FIDT3,FIDUCIAL_FIDUCIAL_FIDUCIAL,Fiducial,,FIDUCIAL,9.0678,8.9154,0,NO
FIDT4,FIDUCIAL_FIDUCIAL_FIDUCIAL,Fiducial,,FIDUCIAL,236.22,8.89,0,NO
