#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
comp,1,1,CT143,0.1UF,CAP0603,241.370,61.830,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,2,1,CT19,0.1UF,CAP1206,159.760,168.520,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT144,0.1UF,CAP0603,249.370,61.850,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT87,0.1UF,CAP0603,234.690,110.000,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT83,0.1UF,CAP0603,234.690,111.600,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT156,0.1UF,CAP0603,253.520,54.000,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT157,0.1UF,CAP0603,257.550,54.000,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT69,0.1UF,CAP0603,235.080,122.670,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT65,0.1UF,CAP0603,235.090,124.270,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,2,3,CT28,0.1UF,CAP1206,209.610,160.130,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT108,0.1UF,CAP0603,265.590,81.510,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT124,0.1UF,CAP0603,268.800,67.440,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,2,4,CT20,0.1UF,CAP1206,209.610,168.610,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT98,0.1UF,CAP0603,265.520,93.970,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT109,0.1UF,CAP0603,269.160,81.520,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT153,0.1UF,CAP0603,274.630,54.580,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT97,0.1UF,CAP0603,269.060,94.010,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT154,0.1UF,CAP0603,278.780,54.590,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,2,1,CT48,0.1UF,CAP1206,260.600,141.070,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,2,2,CT5,0.1UF,CAP1206,224.110,185.150,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,2,3,CT38,0.1UF,CAP1206,260.600,149.540,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT126,0.1UF,CAP0603,294.960,66.920,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,2,CT110,0.1UF,CAP0603,294.250,79.480,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT127,0.1UF,CAP0603,298.050,66.930,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT10,0.1UF,CAP0603,243.710,180.900,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT9,0.1UF,CAP0603,243.700,182.500,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT128,0.1UF,CAP0603,302.990,66.940,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,2,CT167,0.1UF,CAP0603,304.620,45.870,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT129,0.1UF,CAP0603,308.050,66.940,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT44,0.1UF,CAP0603,282.450,147.400,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT130,0.1UF,CAP0603,311.090,66.950,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT131,0.1UF,CAP0603,314.140,66.950,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT164,0.1UF,CAP0603,315.740,51.250,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,2,CT111,0.1UF,CAP0603,313.130,79.520,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT132,0.1UF,CAP0603,316.930,66.970,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,2,CT35,0.1UF,CAP0603,290.520,152.770,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,2,CT133,0.1UF,CAP0603,322.750,66.850,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,2,CT134,0.1UF,CAP0603,324.320,66.860,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,2,CT112,0.1UF,CAP0603,323.150,79.550,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT166,0.1UF,CAP0603,327.720,51.280,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,2,CT113,0.1UF,CAP0603,324.890,79.550,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,1,CT89,0.1UF,CAP0603,320.770,109.450,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,3,CT152,0.1UF,CAP0603,335.870,55.090,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,4,CT88,0.1UF,CAP0603,328.850,109.760,-90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,2,CT59,0.1UF,CAP0603,323.890,128.720,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,1,2,CT31,0.1UF,CAP0603,321.900,154.850,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,24,1,RT117,1.78K,RES0603,135.470,84.410,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,24,3,RT118,1.78K,RES0603,185.650,84.490,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,24,4,RT61,1.78K,RES0603,135.530,129.600,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,24,1,RT62,1.78K,RES0603,185.470,129.670,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,24,3,RT14,1.78K,RES0603,135.670,174.120,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,24,4,RT15,1.78K,RES0603,185.500,174.190,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,24,1,RT34,1.78K,RES0603,236.490,155.130,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,9,1,RT145,100 Ohm,RES0603,234.440,64.180,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,9,2,RT147,100 Ohm,RES0603,238.990,61.070,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,9,3,RT150,100 Ohm,RES0603,242.420,56.530,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,9,4,RT135,100 Ohm,RES0603,248.730,68.060,-45,Yes,,,,,,,,,,,,,,,,,,,,
comp,9,1,RT129,100 Ohm,RES0603,249.800,71.300,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,9,3,RT141,100 Ohm,RES0603,251.400,64.940,0,Yes,,,,,,,,,,,,,,,,,,,,
comp,9,4,RT128,100 Ohm,RES0603,250.670,74.940,45,Yes,,,,,,,,,,,,,,,,,,,,
comp,9,1,RT126,100 Ohm,RES0603,253.160,77.220,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,9,3,RT127,100 Ohm,RES0603,258.950,75.850,135,Yes,,,,,,,,,,,,,,,,,,,,
comp,9,2,RT130,100 Ohm,RES0603,260.440,70.750,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,42,1,CT96,100UF,CAP1206,325.830,97.030,90,Yes,,,,,,,,,,,,,,,,,,,,
comp,5,1,RT110,10K,RES0603,133.250,88.440,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,5,3,RT111,10K,RES0603,183.430,88.520,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,5,4,RT54,10K,RES0603,133.310,133.630,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,5,1,RT55,10K,RES0603,183.240,133.700,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,5,3,RT12,10K,RES0603,133.430,178.150,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,5,4,RT148,10K,RES0603,249.450,60.210,180,Yes,,,,,,,,,,,,,,,,,,,,
comp,5,1,RT149,10K,RES0603,261.350,60.150,180,Yes,,,,,,,,,,,,,,,,,,,,
